PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
1yMjT,r3k2r/ppp1bppp/1qn5/8/2bN4/4BN1P/PPP2KP1/R2QR3 b kq - 2 15,e7c5 d4c6 c5e3 e1e3,989,80,90,268,advantage middlegame short,Center Game: Ross Gambit
1ya4R,rn3k2/pp2q1b1/4QnB1/2Bpp3/8/1P6/P1P2PP1/RN2K3 b Q - 0 17,e7c5 e6f7,982,80,90,129,mate mateIn1 middlegame oneMove,Zukertort Opening: Lisitsyn Gambit
1zQ2k,r2r2k1/p2q1ppp/1p2p3/3n4/4N3/4P3/PP3PPP/2RQ1RK1 w - - 2 18,d1g4 f7f5 g4h4 f5e4,1469,77,85,88,advantage fork middlegame short,Queens Indian Defense: Miles Variation
1zmq9,rn1qkb1r/4p1pp/b2pPn2/1Np5/Qp6/5N2/PP3PPP/R1B1KB1R b KQkq - 2 12,a6b7 b5c7,747,78,88,127,doubleCheck mate mateIn1 oneMove opening,Benko Gambit: Zaitsev Variation
23xql,rnb1k2r/pp4pp/2p4n/5pB1/2B1P3/8/PPP3PP/3RK1NR b Kkq - 0 13,h6g4 d1d8,704,96,95,542,mate mateIn1 middlegame oneMove,Blackmar-Diemer Gambit: Lemberger Countergambit
24But,r2qk2r/pp3pp1/1bn1p3/3pPnN1/3p1Pp1/1N1B4/PPP3P1/R1BQ1RK1 w kq - 2 13,d3f5 d4d3 f1f2 g4g3,2162,82,89,818,advantage discoveredAttack middlegame pin short,Sicilian Defense: Halasz Gambit
24K8p,r1b2bk1/pp3p1p/3nn1p1/3Np3/4P3/BP3P2/P1K1N1PP/5B1R b - - 4 19,c8d7 d5f6 g8g7 f6d7,1011,75,96,232,crushing fork middlegame short,Neo-Grunfeld Defense: Goglidze Attack
26DFG,3r1k1r/1ppqp3/4bpQb/p6p/3R1NpP/P1N3P1/1PP3P1/1K3B1R b - - 0 19,d7d4 f4e6,1077,88,85,120,hangingPiece mate mateIn1 middlegame oneMove,Trompowsky Attack: Borg Variation
26v8M,r1b1k2r/ppp2pp1/3b1q2/5P2/4PN1p/4P3/PPP3Bn/R1BQK2R b KQkq - 1 13,d6f4 e3f4 h4h3 h1h2 f6h4 e1e2,2046,75,95,1003,advantage capturingDefender defensiveMove long opening trappedPiece,Amar Opening: Paris Gambit
28UQ4,r2q1rk1/pbp2pp1/1p3n1p/5N2/3P4/2PB4/P5PP/R2Q1RK1 b - - 1 15,b7e4 d3e4 f6e4 d1g4,2012,76,93,5005,advantage middlegame short,Blackmar-Diemer Gambit: Diemer-Rosenberg Attack
2940p,2rqrbk1/p1pb1p1p/1pn2N2/8/3P4/2P2Q2/PP4PP/R3R1K1 b - - 0 18,g8h8 e1e8 d7e8 f3f5 d8f6 f5f6,2215,75,94,2563,advantage kingsideAttack long middlegame,Indian Defense: Paleface Attack
294VG,r1b2rk1/1p1pbq2/p3p2p/2p1R3/2P1n2p/1P6/PBQP1PPP/4RBK1 w - - 0 18,e5e4 f7f2 g1h1 f2f1 e1f1 f8f1,1010,82,93,2937,backRankMate deflection long mate mateIn3 middlegame,English Opening: Mikenas-Carls
