PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
0009B,r2qr1k1/b1p2ppp/pp4n1/P1P1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 b - - 1 16,b6c5 e2g4 h3g4 d1g4,1099,74,87,560,advantage middlegame short,Kings Pawn Game: Leonardis Variation
000hf,r1bqk2r/pp1nbNp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 b kq - 0 19,e8f7 e2e6 f7f8 e6f7,1554,75,89,469,mate mateIn2 middlegame short,Horwitz Defense: Other variations
00143,r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17,d8f6 d1h5 h7h6 h5c5,1851,75,90,2343,advantage middlegame short,Scotch Game: Mieses Variation
001wr,r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18,f2f3 d6c5 g1h1 c5c4,1007,78,96,1718,advantage fork master masterVsMaster middlegame short,Pirc Defense: Classical Variation
001xO,k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/PQRBPN2/5PPP/2R3K1 w - - 0 19,d3a6 b6c5 a6c8 c5c4,1864,76,91,993,crushing master masterVsMaster middlegame sacrifice short,Slav Defense: Other variations
00206,r3kb1r/pppqpn1p/5p2/3p1bpQ/2PP4/4P1B1/PP3PPP/RN2KB1R w KQkq - 1 11,b1c3 f5g4 h5g4 d7g4,1640,74,95,24385,advantage opening short trappedPiece,Queens Pawn Game: Accelerated London System
002KJ,r3kb1r/ppq2ppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 b kq - 2 10,f8e7 f3e5 c7e5 e2g4,1513,76,93,1031,crushing discoveredAttack middlegame short,Caro-Kann Defense: Advance Variation
002Tf,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1575,75,83,163,advantage fork opening short,Queens Pawn Game: Chigorin Variation
002Ua,r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1RK1 w - - 0 16,g1h1 f6f4 d1f3 f4f3,1648,75,95,5309,crushing kingsideAttack middlegame short,Sicilian Defense: Lowenthal Variation
003S3,r4k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R b KQ - 2 15,a8b8 g5e6 f8g8 e6c7,1386,75,96,4041,advantage middlegame pin short,Modern Defense: Other variations
003jb,r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11,c6c5 d4a4 a6b5 a4b5,1048,74,95,2331,crushing fork middlegame short,French Defense: Classical Variation
003md,r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10,f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7,2107,79,84,203,crushing defensiveMove middlegame veryLong,Russian Game: Italian Variation
003o0,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1036,79,90,643,advantage fork master opening short,Czech Defense: Other variations
003r5,r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1107,77,87,855,crushing fork middlegame short,Kings Gambit Accepted: Abbazia Defense
0045Q,rnbqkb1r/pppp2pp/8/4P3/2B5/4p3/PPPP2PP/R1BQK1NR w KQkq - 0 7,d1f3 d8h4 e1d1 h4c4,1571,79,97,22705,advantage fork opening short,Vienna Game: Other variations
004BW,r1bk2r1/ppq2pQp/3bpn2/1BpnN3/5P2/1P6/PBPP2PP/RN2K2R w KQ - 3 13,e5f7 d8e7 g7g8 f6g8,1642,75,91,1153,advantage middlegame short,Sicilian Defense: Modern Variations
004Ys,r4rk1/3q1pbp/p1n1p1p1/2p3NP/1p3B2/3P3Q/PPP3P1/R3R1K1 b - - 2 19,d7d4 f4e3 d4f6 e1f1 f6e5 h5g6 e5e3 h3e3,2332,87,87,257,advantage defensiveMove middlegame veryLong,Sicilian Defense: McDonnell Attack
004kB,4rr1k/pQpn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 w - - 1 16,b7c7 f6f2 f1f2 e8e1 f2f1 e1f1,1251,75,92,137,kingsideAttack long mate mateIn3 middlegame sacrifice,Ruy Lopez: Steinitz Defense
0068B,r1q3k1/4bppp/pp2pn2/4B3/8/2N2Q2/PPPR1PPP/6K1 b - - 0 18,f6d7 d2d7 c8d7 f3a8,1462,75,93,5716,crushing deflection middlegame short,Sicilian Defense: Katalimov Variation
006fF,r1b4r/pp1k2pp/2nb2q1/1B1p2B1/3p3Q/8/PPP2PPP/3RR1K1 b - - 5 17,h7h6 h4g4 d7c7 g5d8 h8d8 g4g6,2027,75,95,2421,advantage discoveredAttack exposedKing long middlegame,Italian Game: Two Knights Defense
0072T,3q1nk1/1bN2rpp/pp1P4/1N6/4n2b/8/PPP2PPP/R1BQ1RK1 w - - 1 16,b5d4 h4f2 f1f2 e4f2,2406,77,85,464,advantage kingsideAttack master middlegame short,Philidor Defense: Lion Variation
007tv,r3k1nr/1pp2ppp/1pnp2q1/4p1B1/2B1P3/3P1Q1P/PPP2PP1/R4RK1 b kq - 0 11,g6g5 f3f7 e8d8 f7f8 d8d7 f8a8,1342,75,92,963,advantage attackingF2F7 long middlegame skewer,Italian Game: Giuoco Pianissimo
008D5,r1bqk2r/pp3ppp/4p2n/3pP3/1b1P1P2/2N5/PP4PP/R1BQKB1R b KQkq - 2 9,h6f5 d1a4 c8d7 a4b4,1419,75,80,1175,advantage fork master opening short,French Defense: La Bourdonnais Variation
0092V,r2qk1nr/ppp3pp/2n5/1B1pp3/1b1P4/5Q1P/PP1B1PP1/RN2K2R b KQkq - 3 11,e5e4 b5c6 b7c6 f3h5 g7g6 h5e5,2476,81,93,714,crushing exposedKing long opening,Ponziani Opening: Other variations
009FS,r2qr1k1/p5bp/1pp1b1p1/8/2QN1p2/2P1n2P/PP3PP1/R1B1RNK1 w - - 1 18,d4e6 e3c4 e6d8 e8e1,1749,75,76,122,crushing discoveredAttack opening short,Sicilian Defense: Closed
009Wc,1r3rk1/1pq2pbp/p1p1pnp1/2N1N3/3P4/1QP5/PP3PPP/3RR1K1 w - - 2 19,e5d7 f6d7 c5d7 c7d7,982,79,95,1372,crushing middlegame short,Caro-Kann Defense: Classical Variation
00AVR,br1qkb1r/p1pp1ppp/4Pn2/6B1/3Qn3/5NP1/P3PPBP/RN1R2K1 b k - 0 15,d7e6 d4a4 d8d7 d1d7,1762,77,76,83,crushing opening short,Zukertort Opening: Black Mustang Defense
00Ahb,1k4nr/pp1r1ppp/4p3/1Nb2q2/2Pp4/6P1/PP3P1P/R1BQR1K1 b - - 2 14,g8h6 c1f4 f5f4 g3f4,1102,76,92,204,crushing middlegame short,Sicilian Defense: Franco-Sicilian Variation
00Al5,2r3k1/p2q1pbp/1p2pnp1/nB1p4/3P4/1Pr1P2P/P1QB1PP1/2R2RK1 w - - 0 19,b5d7 c3c2 d7c8 c2d2,1732,76,97,5960,advantage middlegame short,Slav Defense: Schlechter Variation
00B5A,r2qk2r/ppp2ppp/2n1b3/1B1N4/3b4/3P3P/P1P1QPP1/1R2K1NR w Kkq - 4 13,g1f3 d8d5 f3d4 d5d4 b5c6 b7c6,1465,76,93,14088,advantage hangingPiece long middlegame,Nimzowitsch Defense: Other variations
00BKa,5rk1/p1Rb1ppp/2n1pn2/8/8/2P3P1/q4PBP/1rNQK2R b K - 2 16,f8c8 c7c8 d7c8 c1a2 b1d1 e1d1,2551,89,90,754,advantage long middlegame,French Defense: Winawer Variation
00BM8,r4rk1/pp2bppp/2ppnn2/8/N1P1P3/q1P4P/P2N2PB/R2Q1R1K b - - 0 16,a8d8 d2b1 a3a4 d1a4,1632,76,93,6729,advantage master middlegame short trappedPiece,Caro-Kann Defense: Other variations
00Bul,rnbqk2r/pp3ppp/5n2/3pN3/2B5/2P5/P1PPQPPP/R1B1K2R b KQkq - 1 8,d5c4 e5c6 c8e6 c6d8,1302,75,91,553,advantage discoveredAttack opening short,Kings Pawn Game: Gunderam Gambit
00C3O,r2qkbnr/pp4pp/2p2p2/4n2b/2B1P3/2N2N2/PPP3PP/R1BQ1RK1 w kq - 0 10,d1e2 h5f3 g2f3 d8d4,2078,76,92,1254,crushing kingsideAttack opening short,Kings Gambit: Other variations
00CXr,r2k2nr/pp2qBb1/3p3p/Q5p1/3n1B2/2N2R2/PPP3P1/R5K1 b - - 1 18,b7b6 a5d5 d4f3 g2f3 a8c8 f4d6,1945,75,91,1542,advantage long middlegame sacrifice,Kings Gambit Accepted: Fischer Defense
00D7x,rnq2r2/pp3pbk/3p1n2/2pPpPQ1/2P1P3/2N2NP1/PP4KP/R4R2 b - - 2 18,f8g8 g5h4 g7h6 h4f6,1560,75,95,18296,crushing deflection middlegame short,Benoni Defense: Old Benoni
00DWo,b4b1r/3k1ppp/p2p4/1p2p3/3nq3/N1P1B3/PP3PPP/R2Q1RK1 w - - 1 16,c3d4 e4g2,1067,105,82,36,kingsideAttack mate mateIn1 middlegame oneMove,Sicilian Defense: Kalashnikov Variation
00EDN,rnbq1rk1/p4ppp/1p2p3/2p5/2QPn3/2P1PN2/P3BPPP/R1B2RK1 w - - 0 11,c1a3 c8a6 c4a6 b8a6,1674,85,76,32,advantage middlegame short,Nimzo-Indian Defense: Normal Variation
00HVU,r2qkb1r/ppp1pppp/8/3p3Q/3n1P2/3B3P/PPP2PP1/RN2K2R b KQkq - 1 9,g7g6 h5e5 d4f3 g2f3,1596,74,91,1625,advantage fork middlegame short,Indian Defense: Other variations
00Htd,rnbqk2r/1p3ppp/p4b2/2Pp4/8/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 9,d1d5 f6c3 b2c3 d8d5,991,83,93,989,crushing intermezzo opening short,Tarrasch Defense: Two Knights Variation
00IUT,1r2r1k1/ppp1q1pp/4b3/4P3/1Q1p1P2/8/P5PP/R1BR2K1 w - - 6 19,d1d4 c7c5 b4a3 c5d4 a3e7 e8e7,1520,73,95,20314,crushing fork long middlegame,Italian Game: Classical Variation
00IYH,rnbq1rk1/ppp2pp1/3p1n1p/2b1p2N/2B1P3/3P4/PPP2PPP/RNBQ1RK1 b - - 2 7,c8g4 h5f6 d8f6 d1g4,996,84,93,2246,advantage kingsideAttack opening short,Kings Pawn Game: Alapin Opening
00KYE,r1b2k1r/pp4p1/2pq2p1/3p4/3p4/1N6/PPP2PPP/R2Q1RK1 w - - 0 17,d1d4 d6h2,920,102,86,182,kingsideAttack mate mateIn1 middlegame oneMove,Italian Game: Scotch Gambit
00LZl,r2qkb1r/ppp2ppp/2n5/3pPb2/3n1B2/2NB1N2/PP3PPP/R2QK2R b KQkq - 3 9,f8b4 f3d4 c6d4 d1a4 d4c6 d3f5,2291,77,93,4621,advantage deflection fork long opening,Kings Pawn Game: Macleod Attack
00MS3,rn1qr1k1/1p2bppp/2p2B2/p2p4/3P4/2N2N2/PPP1QPPP/2KRR3 b - - 0 12,e7f6 e2e8 d8e8 e1e8,824,83,83,122,backRankMate mate mateIn2 middlegame short,French Defense: Exchange Variation
00Nf5,r1bq1rk1/pp2bppp/2pp1n2/8/5P2/5N2/PBPPB1PP/RN1Q1RK1 w - - 5 11,b1c3 d8b6 g1h1 b6b2 a1b1 b2a3,1569,73,94,7847,advantage fork long opening,Polish Opening: Other variations
00Ns0,r2qr1k1/pn1p2pp/bp3p2/2p1N3/2P5/1PB3Q1/P1P3PP/R4RK1 w - - 0 18,f1f6 d8f6 a1f1 f6h6 e5g4 h6g6 c3g7 e8e4 g4f6 g8g7,2583,104,77,51,advantage hangingPiece intermezzo middlegame veryLong,Bishops Opening: Vienna Hybrid
00O8m,r3r1k1/ppp2ppp/2nn1q2/8/3P4/P1P1P1P1/2Q3BP/R1B1KR2 b Q - 4 16,f6e6 d4d5 e6e5 d5c6,1402,75,86,1400,crushing fork middlegame short,Englund Gambit Declined: Reversed French
00OmS,r1bq1rk1/pp2pp1p/6pB/3Nb3/8/5B2/Pn2QPPP/R4RK1 b - - 1 15,e5h8 d5e7 d8e7 e2e7,1375,77,93,1585,crushing kingsideAttack middlegame short,Scandinavian Defense: Richter Variation
00PF3,2kr3r/Qpp2ppp/3b1n2/8/3N4/4P1Pq/PP1B1P1P/2R2RK1 w - - 4 18,d4b5 f6g4 b5d6 d8d6 c1c7 c8c7,1418,74,81,265,advantage long middlegame,Queens Gambit Declined: Baltic Defense
00Pgk,r2q1rk1/pbp1bp2/1p2pn1Q/5nN1/8/P1NB4/1PP3PP/R4RK1 w - - 2 17,d3f5 d8d4 g1h1 e6f5,2417,78,84,125,advantage intermezzo middlegame short,French Defense: Henneberger Variation
00Pms,r1b1kr2/p1p2pQp/1p2pP2/8/8/1P4P1/P2KNP1P/R1B4q b q - 0 17,c8a6 g7f8 e8f8 c1a3 f8e8 a1h1,2117,93,86,25,advantage attraction discoveredAttack long middlegame sacrifice,French Defense: Other variations
00QZ3,r1bq3r/ppppnkpp/2n5/b5N1/4P3/B1P5/P4PPP/RN1QK2R b KQ - 1 9,f7f8 d1f3 f8e8 f3f7,1174,78,91,1482,mate mateIn2 opening short,Scotch Game: Scotch Gambit
00Qm5,r2q1rk1/p3b1pp/2p5/4ppB1/4p1nP/2N5/PPP1QPP1/3R1RK1 b - - 8 15,d8c7 e2c4 g8h8 c3d5 c6d5 c4c7,1944,76,94,6221,crushing long middlegame,Queens Pawn Game: Morris Countergambit
00Qog,1r3rk1/pP2qppp/1b3n2/1Q2p3/4P3/2NP1bP1/PP2NP1P/R1B2RK1 w - - 1 15,c1g5 e7e6 e2f4 e5f4,2093,74,94,1684,crushing middlegame short,English Opening: Carls-Bremen System
00R0l,rnbqkb1r/pp3p1p/6pP/P1ppp3/6n1/3P1P2/1PP1P1P1/RNBQKBNR b KQkq - 0 7,g4h6 c1h6 f8h6 h1h6,1449,78,86,1431,advantage opening short,Ware Opening: Other variations
00Rlv,r3k1nr/p1q3pp/1pb1p3/2b2p2/8/N1BQ1P2/PPP3PP/2KR3R b kq - 3 14,a8d8 d3d8 c7d8 d1d8,616,93,78,124,advantage middlegame short,Duras Gambit: Other variations
00RoG,2kr2nr/pp2nppp/2pp4/2b2PP1/4NPq1/3B1R2/PPP4P/R2QB2K w - - 5 18,h2h3 g4g1,1028,79,93,603,mate mateIn1 oneMove opening,Scotch Game: Other variations
00Rue,r2qkb1r/pp1nppp1/2p2n1p/3p1b2/3P4/BP2PN2/P1P2PPP/RN1QKB1R w KQkq - 2 7,c2c4 f5b1 a1b1 d8a5 b3b4 a5a3,1879,73,95,13149,advantage fork long opening,Nimzo-Larsen Attack: Classical Variation
00S5q,r4rk1/pbp1n1pp/1p1p4/3Pp1N1/2B4P/2PQ4/PP3qP1/R2K3R b - - 1 17,f2g2 d3h7,989,163,90,16,kingsideAttack mate mateIn1 middlegame oneMove,Dutch Defense: Raphael Variation
00SCL,r1b2rk1/2q1bp1p/p5p1/1p2p1PB/3BP3/2N5/PPPQ3P/R3K2R w KQ - 0 17,h5g6 e5d4 c3d5 c7e5 d5e7 e5e7,2117,75,82,120,advantage clearance long middlegame,Sicilian Defense: Najdorf Variation
00SLR,rnbqk1nr/ppppbppp/4p3/8/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq - 2 3,g2g4 e7h4 f3h4 d8h4,679,108,93,389,mate mateIn2 opening short,Bird Opening: Other variations
00SMl,r4rk1/ppp2pn1/2np4/q2N4/3PP3/5P2/PPP5/1K1R1B1R b - - 2 18,c6b4 d5f6,795,78,99,709,mate mateIn1 middlegame oneMove,Kings Gambit Accepted: Cunningham Defense
00SWh,rn5Q/ppk1np2/3B4/6N1/6b1/8/PPP1q3/2KR4 b - - 0 18,c7b6 h8d4 b6c6 d4c3 c6d7 d1e1,2776,108,88,358,crushing exposedKing long middlegame,Kings Gambit Accepted: Bishops Gambit
00TEQ,r3k1nr/1bq2ppp/p2p4/1p2p1NQ/3nP3/1BN4P/PP3PP1/R2R2K1 b kq - 2 15,g8f6 h5f7 c7f7 g5f7,2497,86,89,533,advantage attackingF2F7 middlegame short,Sicilian Defense: Smith-Morra Gambit Accepted
00TxB,r2qkb1r/pp3ppp/2pp1nn1/8/4PB2/2N2B2/PPP2PPP/R2Q1RK1 w kq - 2 10,f1e1 g6f4,891,87,95,2175,advantage hangingPiece oneMove opening,Philidor Defense: Other variations
00UI2,2r3nr/p5pp/b3kp2/3p4/4p3/BP3P2/P1PN2PP/2KR3R b - - 0 18,f6f5 f3e4 f5e4 d2e4 d5e4 d1d6 e6f7 d6a6,1942,75,95,2063,clearance crushing fork middlegame sacrifice veryLong,Nimzo-Larsen Attack: English Variation
00VXe,rn1q1knr/pbpp4/1p2ppQ1/6N1/1bPP3p/2N3B1/PP2PPPP/R3KB1R b KQ - 0 10,f6g5 g3e5 h8h7 g6h7,1519,78,86,74,advantage middlegame short,English Defense: Other variations
00VoA,r3r1k1/2pqbppp/ppn2n2/3p4/NP1P2b1/P3P1P1/1BQ1NPBP/2R1K2R b K - 1 14,g4f5 c2c6 d7c6 c1c6,1492,75,88,1520,advantage middlegame short,Anderssens Opening: Other variations
00WDP,1r2kb1r/p4ppp/Q1n5/2qpP1Bb/8/5N1P/P2N1PP1/R4RK1 b k - 2 16,b8b6 a6c8 c6d8 c8d8,1241,75,93,432,mate mateIn2 middlegame short,Bishops Opening: Ponziani Gambit
00WUu,r3k1nr/pp3ppp/1q2b3/8/1n1p4/6P1/PB1QPPBP/R3K1NR w KQkq - 0 13,b2d4 b6d4 d2d4 b4c2 e1f1 c2d4,1528,76,88,1082,attraction crushing fork long opening sacrifice,Queens Gambit Declined: Tarrasch Defense
00WlQ,2r1r1k1/pp3pp1/4bb1p/2qp4/Q7/1PNRPN2/P4PPP/3R2K1 w - - 0 19,c3d5 e6d5 a4e8 c8e8,1171,76,93,1262,crushing middlegame short,Queens Gambit Declined: Exchange Variation
00WnZ,r1b1kb1r/pp2q3/2n3p1/2p1P2p/5Q2/1P2pN2/PBP3PP/2KR1B1R w kq - 0 16,f4e3 f8h6 e3h6 h8h6,1207,77,89,186,advantage middlegame pin short,Nimzo-Larsen Attack: Modern Variation
00WzS,r2qk2r/2pn1p1n/pp1p2bp/3Pp1bB/PPP1P3/2N1B3/3N2PP/R2Q1RK1 w kq - 3 17,h5g6 g5e3 g1h1 f7g6,1313,75,91,257,advantage hangingPiece intermezzo middlegame short,St George Defense: Other variations
00X5w,r2q1r1k/1ppbb1pn/p1n4p/3Qpp2/B3P3/2P2N1P/PP3PP1/R1B1RNK1 w - - 2 14,f3e5 c6e5 a4d7 e5d7,1318,76,93,4330,advantage middlegame short,Ruy Lopez: Morphy Defense
00Y5Q,rnbq1rk1/pp2b2p/4p2p/3p1p1Q/2pP4/P1N5/1PP1PPPP/2KR1BNR w - - 0 11,h5h6 e7g5 h6g5 d8g5,794,91,95,864,crushing fork opening short,Richter-Veresov Attack: Other variations
00YCP,2k3nr/1ppr2pp/p3pp2/2b5/5P2/1N2nN2/PP4PP/1RB1R1K1 b - - 3 15,c5a7 c1e3 a7e3 e1e3,891,81,89,335,advantage middlegame short,Englund Gambit: Other variations
00YeV,r2qr1k1/ppp2ppp/2nbp3/5b2/3P4/2P1BN2/P1PQBPPP/3R1RK1 b - - 7 11,d8f6 e3g5 f6g6 f3h4 h7h6 h4g6,1385,75,80,160,crushing long middlegame trappedPiece,Scandinavian Defense: Marshall Variation
00Yey,r3kb1r/4ppp1/3q2p1/p2p4/Pp1Pn3/6N1/1PP1QPPP/R1B1R1K1 w kq - 4 17,g3e4 d6h2 g1f1 h2h1,905,76,92,114,kingsideAttack mate mateIn2 middlegame short,Caro-Kann Defense: Two Knights Attack
00Yuf,5rk1/n1q2ppp/1p1bpn2/1B1p1b2/NP1P4/P3PN2/3B1PPP/3Q1RK1 w - - 0 19,b5e2 f5c2 d1a1 c2a4,2070,73,95,12881,advantage interference middlegame short,Slav Defense: Quiet Variation
00ZWf,r1b2bnr/ppQp3p/2n2q1k/6pP/2B1P3/3P4/PPP2PP1/RNB1K2R w KQ - 1 11,c2c3 f8d6 c7d6 f6d6,1441,75,95,6467,crushing middlegame short trappedPiece,Kings Pawn Game: Damiano Defense
00Zit,r3kb1r/ppp2pp1/3p4/1P2p3/2P3pn/2N1P2q/PB1P1P1N/R2Q1RK1 w kq - 0 15,d1g4 h4f3 h2f3 h3g4,1162,75,100,297,deflection kingsideAttack mate mateIn2 middlegame short,Polish Opening: Czech Defense
00Zx9,r1b1k1nr/ppp2ppp/3p2q1/4R1B1/2B2P2/7P/P5P1/1N1Q2K1 b kq - 0 14,d6e5 d1d8,955,75,96,225,mate mateIn1 middlegame oneMove,Scotch Game: Haxo Gambit
00aBq,r2r2k1/pp3ppp/1qn2b2/3R4/4QB2/1P3N2/P4PPP/4R1K1 b - - 0 18,d8d5 e4e8 a8e8 e1e8,927,83,88,315,backRankMate mate mateIn2 middlegame sacrifice short,Queens Pawn Game: London System
00aME,r1b2rk1/2qnbppp/3p1n2/1pp5/4PP2/1PNQ1N2/P3B1PP/1RB2RK1 w - - 0 14,d3b5 c8a6 b5a6 a8a6,1336,76,86,600,advantage middlegame short,Center Game: Other variations
00b58,4k2r/1bq2pb1/4p3/1p4p1/2pn4/R4N2/1P2BPPP/3Q1RK1 w k - 2 17,f3d4 c7h2,1025,78,90,71,kingsideAttack mate mateIn1 middlegame oneMove,Queens Gambit Declined: Three Knights
00bQR,2r4r/pp1k1ppp/1q2p3/3pP3/Pb1n4/1P1Q4/3B1PPP/RN3RK1 b - - 5 15,c8c2 a4a5 b6c5 d2b4 c5b4 a1a4,2468,88,84,90,advantage long middlegame,French Defense: Advance Variation
00cW9,rn2kb1r/1bq2pp1/p3p2p/1p1nP3/2pP3B/2N2N2/1P1QBPPP/R4RK1 b kq - 1 13,f8b4 c3d5 b7d5 d2b4,1017,82,94,1131,advantage capturingDefender discoveredAttack middlegame short,Slav Defense: Geller Gambit
00ccX,r4rk1/1p1b1pbp/p1pp2p1/8/2PNq3/1P2P2P/PB1Q1PP1/R2R2K1 w - - 0 19,d2d3 e4d3 d1d3 c6c5 b2c3 c5d4,1644,74,93,2017,crushing long middlegame,Nimzo-Larsen Attack: Indian Variation
00d8a,r1b1k2r/1p3p2/p1pqp3/2b2Ppp/4P1n1/2NB3P/PPP3P1/R2QBR1K w kq - 1 15,d1f3 d6h2,1086,79,89,384,master mate mateIn1 middlegame oneMove,Sicilian Defense: Kan Variation
00dCs,rn1q2k1/pbp1nrpp/1p2Q3/8/3P4/B1P1P3/P3NPPP/R4RK1 b - - 2 14,b7d5 a3e7 d8d7 e6d7,1327,75,92,668,advantage middlegame short,Queens Gambit Accepted: Old Variation
00dOP,r2q1k1r/pbp1bppp/1p2pn2/1B2N3/3P1Q2/8/PPP2PPP/R1B2RK1 b - - 5 12,f6d5 f4f7,572,86,100,243,mate mateIn1 oneMove opening,French Defense: Tarrasch Variation
00euQ,r1b1k1nr/pppp1ppp/5q2/2b1n3/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 0 6,f3e5 f6f2,1143,82,92,775,mate mateIn1 oneMove opening,Vienna Gambit with Max Lange Defense: Other variations
00fwM,Qn1qk2r/p4ppp/2p5/2bn4/4pPb1/2N5/PPPP2PP/R1B1KBNR w KQk - 1 9,h2h3 d8h4 g2g3 h4g3,1374,75,96,3135,mate mateIn2 opening short,Kings Gambit Declined: Falkbeer Countergambit
00gsT,1r3rk1/p4pp1/4p2p/1Q2Pn2/1b1P4/4BN2/q4PPP/2R2RK1 w - - 1 19,c1a1 a2a1 f1a1 b8b5,1401,74,91,4911,crushing middlegame short,Queens Gambit Accepted: Other variations
00h8X,r4r1k/pp1q1pb1/2npbn1p/2p1p3/4P3/1BPP1Q2/PP3P1N/RNB2KR1 b - - 9 17,e6b3 c1h6 g7h6 f3f6 h8h7 h2g4 d7e6 a2b3 e6f6 g4f6,2480,88,81,99,advantage deflection exposedKing fork middlegame veryLong,Sicilian Defense: Hyperaccelerated Dragon
00iLe,r1b1r1k1/pp1n1pb1/3p1q1p/2pP2p1/2P1B3/4PNB1/PPQ2PPP/2KR3R w - - 1 15,h2h4 e8e4 h4g5 h6g5,1758,75,90,86,crushing middlegame short,Torre Attack: Fianchetto Defense
00isY,rnbqkb1r/ppp3pp/5n2/3P1p2/4pB2/2N5/PP3PPP/R2QKBNR b KQkq - 0 7,f8b4 d1a4 c7c6 a4b4,1486,76,95,13823,crushing fork master opening short,Blackmar-Diemer Gambit: Other variations
00jXF,r1b1r1k1/ppp2ppp/2nb1q2/4N3/2BPQB2/8/PPP3PP/2KR3R w - - 5 13,c4f7 f6f7 e5f7 e8e4,1240,96,100,20,advantage middlegame short,Vienna Gambit with Max Lange Defense: Steinitz Gambit
00k6k,r2q1rk1/p1p1bpp1/2p1bn1p/8/2Pp3B/1PNBPP2/P5PP/R2Q1RK1 w - - 0 14,e3d4 d8d4 h4f2 d4c3,1030,76,84,194,advantage fork opening short,English Opening: Kings English Variation
00kHM,3r1rk1/pp2npp1/1q2b2p/3p4/4n3/PBP2N1P/1P1N1PP1/R2Q1RK1 w - - 4 16,d2e4 d5e4 f3d4 d8d4,1985,78,92,990,crushing middlegame short,Caro-Kann Defense: Hillbilly Attack
00km1,1R3rk1/p2q1ppp/3bpn2/3p4/Q2P4/2N3P1/P3PP1P/2B2RK1 b - - 0 17,d7a4 b8f8 g8f8 c3a4,1411,76,78,597,crushing intermezzo middlegame short,Queens Gambit Declined: Marshall Defense
00l7Y,r1b2q2/p3p1bk/2p3p1/3pn2p/8/2NB3P/PPPBQ1P1/5RK1 b - - 1 17,f8d8 e2h5 h7g8 d3g6 e5g6 h5g6,1689,74,99,1090,advantage deflection long middlegame pin,Sicilian Defense: Open
00lA1,r3k2r/ppp3Np/3p2pB/2b1p3/2B1P3/2NP3q/PPP2P2/R2R2K1 b - - 3 17,e8d8 h6g5 d8d7 c4e6 h3e6 g7e6,1710,194,100,3,advantage fork long middlegame,Four Knights Game: Spanish Variation
00lIV,r2qr1k1/pb2bppp/2p2n2/3pN1B1/2P5/4P3/PPQ2PPP/3RKB1R w K - 3 13,f1e2 e7b4 e1f1 e8e5,1808,75,94,1975,crushing discoveredAttack middlegame short,Queens Gambit Declined: Normal Defense
00mJq,r1b5/pp1nkpr1/2q1p3/8/8/3B4/P1P1NPPP/R2Q1RK1 w - - 3 18,e2d4 c6g2,710,90,96,253,kingsideAttack mate mateIn1 middlegame oneMove,Scandinavian Defense: Mieses-Kotroc Variation
00mKK,r1bq1k1r/pp3pbp/4Pnp1/nB6/8/2N2N2/PP3PPP/R1BQR1K1 b - - 0 13,d8d1 e6e7 f8g8 e1d1,1897,75,82,147,advancedPawn crushing intermezzo opening short,Caro-Kann Defense: Accelerated Panov Attack
00nFD,r4rk1/p1q2pb1/2p1b1pp/3np3/2B1N2P/4BP2/PPP3P1/2KRQ2R w - - 0 16,g2g4 d5e3 c4e6 e3d1,984,77,96,4256,advantage master middlegame short,Sicilian Defense: Dragon Variation
00nZE,r1b1r1k1/pp1p1p1Q/2n2Bp1/2p1qp2/2B1P3/3P1R2/PPP3PP/R5K1 b - - 0 16,g8h7 f3h3 h7g8 h3h8,1018,75,99,1910,mate mateIn2 middlegame short,Sicilian Defense: Grand Prix Attack
